cik,ticker,name,exchange,to_captured_at,cause_old,cause_after_fixes,verified_cause,correct_after_fixes,evidence_forms_new,superseded_by,edgar_url,note
0001840425,BLACU,Bellevue Life Sciences Acquisition Corp.,Nasdaq,2025-03-19T14:43:34+00:00,MERGER_ACQUISITION,MERGER_ACQUISITION,MERGER_ACQUISITION,True,"25-NSE,8-K",OSRH,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001840425&type=&dateb=&owner=include&count=40,"de-SPAC, units removed"
0001856948,CHEAU,Chenghe Acquisition Co.,Nasdaq,2024-03-01T13:29:50+00:00,MERGER_ACQUISITION,MERGER_ACQUISITION,MERGER_ACQUISITION,True,"15-12G,25-NSE,8-K",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001856948&type=&dateb=&owner=include&count=40,de-SPAC
0001274173,JHG,JANUS HENDERSON GROUP PLC,NYSE,2026-07-16T16:18:18+00:00,MERGER_ACQUISITION,MERGER_ACQUISITION,MERGER_ACQUISITION,True,"15-12G,25-NSE,8-K",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001274173&type=&dateb=&owner=include&count=40,taken private; 2.01 + 15-12G
0001624794,CSWI,"CSW INDUSTRIALS, INC.",Nasdaq,2025-07-04T16:01:38+00:00,MERGER_ACQUISITION,EXCHANGE_TRANSFER,EXCHANGE_TRANSFER,True,"25,8-K",CSW,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001624794&type=&dateb=&owner=include&count=40,moved Nasdaq → NYSE as CSW; 2.01 was as acquirer
0001779020,DNMRQ,"Danimer Scientific, Inc.",OTC,2025-08-19T02:13:05+00:00,BANKRUPTCY,BANKRUPTCY,BANKRUPTCY,True,8-K,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001779020&type=&dateb=&owner=include&count=40,1.03
0001826671,NIR,"Near Intelligence, Inc.",Nasdaq,2024-01-12T05:18:17+00:00,BANKRUPTCY,BANKRUPTCY,BANKRUPTCY,True,"25-NSE,8-K",NIRLQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001826671&type=&dateb=&owner=include&count=40,1.03
0000748790,GCEHQ,"Global Clean Energy Holdings, Inc.",OTC,2025-08-19T02:13:05+00:00,BANKRUPTCY,BANKRUPTCY,BANKRUPTCY,True,"15-12G,8-K",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000748790&type=&dateb=&owner=include&count=40,1.03
0001934064,OSAP,"ProSomnus, Inc.",,2024-05-30T20:48:53+00:00,BANKRUPTCY,BANKRUPTCY,BANKRUPTCY,True,"25-NSE,8-K",OSAPW,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001934064&type=&dateb=&owner=include&count=40,1.03
0001852633,PNSTW,"Pinstripes Holdings, Inc.",OTC,2025-12-06T23:33:16+00:00,DEREGISTRATION,DEREGISTRATION,DEREGISTRATION,True,15-12G,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001852633&type=&dateb=&owner=include&count=40,"15-12G, warrants"
0001446371,SGIC,"Strategic Realty Trust, Inc.",OTC,2025-04-29T19:04:04+00:00,DEREGISTRATION,DEREGISTRATION,DEREGISTRATION,True,15-12G,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001446371&type=&dateb=&owner=include&count=40,15-12G
0001697834,STMH,"Stem Holdings, Inc.",OTC,2024-12-07T10:58:54+00:00,DEREGISTRATION,DEREGISTRATION,DEREGISTRATION,True,15-12G,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001697834&type=&dateb=&owner=include&count=40,15-12G
0001879814,TLGWF,TLGY ACQUISITION CORP,OTC,2026-07-16T16:18:18+00:00,DEREGISTRATION,DEREGISTRATION,DEREGISTRATION,True,15-12G,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001879814&type=&dateb=&owner=include&count=40,"SPAC liquidation, 15-12G"
